orion_ticker,buy_date,issuer_cik,sec_historical_symbol,security_title,classification,evidence_date,form,accession,source_url,join_basis,status,notes
RACE,2017-09-07,0001648416,RACE,Common shares,common,2016-02-25,20-F,0001648416-16-000057,https://www.sec.gov/Archives/edgar/data/1648416/000164841616000057/0001648416-16-000057-index.htm,direct_symbol_and_cik,verified_common,NYSE RACE explicitly identified as Ferrari common shares before buy
AEM,2024-08-30,0000002809,AEM,"Common Shares, without par value",common,2024-03-25,40-F,0001104659-24-037982,https://www.sec.gov/Archives/edgar/data/2809/000110465924037982/0001104659-24-037982-index.htm,direct_symbol_and_cik,verified_common,NYSE AEM explicitly identified
CNQ,2022-04-07,0001017413,CNQ,Common Shares,common,2022-03-23,40-F,0001017413-22-000028,https://www.sec.gov/Archives/edgar/data/1017413/000101741322000028/0001017413-22-000028-index.htm,direct_symbol_and_cik,verified_common,NYSE CNQ explicitly identified
NVO,2023-02-21,0000353278,NVO,ADRs representing B shares,common_equity_adr,2023-02-01,20-F,0001628280-23-001868,https://www.sec.gov/Archives/edgar/data/353278/000162828023001868/0001628280-23-001868-index.htm,direct_symbol_and_cik,verified_common,NYSE NVO ADRs each represent one B share
QIHU,2016-05-03,0001508913,QIHU,ADSs representing Class A ordinary shares,common_equity_adr,2016-04-28,20-F,0001144204-16-096771,https://www.sec.gov/Archives/edgar/data/1508913/000114420416096771/0001144204-16-096771-index.html,direct_symbol_and_cik,verified_common,NYSE QIHU ADSs represent Class A ordinary shares
HCR1,2006-09-13,0000878736,HCR,Common Stock,common,2006-08-15,S-3 exhibit,,https://www.sec.gov/Archives/edgar/data/878736/000095013706009236/c07014exv5w2.htm,alias_to_causal_cik,verified_common,Pre-buy filing explicitly covers common stock; historical symbol HCR
HMY,2009-02-27,0001023514,HMY,Ordinary shares,common,2008-11-05,6-K,,https://www.sec.gov/Archives/edgar/data/1023514/000115697308000938/u56856e6vk.htm,direct_symbol_and_cik,verified_common,NYSE HMY ordinary-share evidence predates buy
IAG,2009-04-06,0001203464,IAG,Common Shares,common,2009-03-09,F-10,,https://www.sec.gov/Archives/edgar/data/1203464/000104746909002368/a2191180zf-10.htm,direct_symbol_and_cik,verified_common,NYSE IAG common shares explicitly identified
GLOG,2014-04-11,0001534126,GLOG,Common Shares,common,2012-03-16,F-1/A,,https://www.sec.gov/Archives/edgar/data/1534126/000093041312001612/c67840_f1a.htm,direct_symbol_and_cik,verified_common,IPO filing identifies common shares and NYSE GLOG
MTL,2007-11-20,0001302362,MTL,ADSs representing Common Shares,common_equity_adr,2004-10-29,424B4,,https://www.sec.gov/Archives/edgar/data/1302362/000119312504181382/d424b4.htm,direct_symbol_and_cik,verified_common,NYSE MTL ADSs represent common shares
ENDPQ,2010-12-16,0001100962,ENDP,Common Stock,common,2010-03-02,10-K,0001193125-10-043420,https://www.sec.gov/Archives/edgar/data/1100962/000119312510043420/d10k.htm,alias_to_historical_cik,verified_common,Historical Endo issuer; Nasdaq ENDP common stock
LMNX1,2020-05-08,0001033905,LMNX,Common Stock,common,2020-02-27,10-K,,https://www.sec.gov/Archives/edgar/data/1033905/000103390520000015/lmnx-12312019x10k.htm,alias_to_causal_cik,verified_common,Nasdaq LMNX common stock; signatures dated 2020-02-27
PRE1,2015-09-23,0000911421,PRE,Common Shares,common,2015-02-26,10-K,,https://www.sec.gov/Archives/edgar/data/911421/000091142115000011/a20141231-10k.htm,alias_to_causal_cik,verified_common,PartnerRe common shares; filing predates buy
SICPQ,2021-01-04,0001312109,SI,"Class A Common Stock, par value $0.01 per share",common,2020-03-10,10-K,0001312109-20-000020,https://www.sec.gov/Archives/edgar/data/1312109/000131210920000020/si10-k12312019.htm,alias_to_causal_cik,verified_common,NYSE SI explicitly identified as Class A Common Stock
SICPQ,2021-04-09,0001312109,SI,"Class A Common Stock, par value $0.01 per share",common,2020-03-10,10-K,0001312109-20-000020,https://www.sec.gov/Archives/edgar/data/1312109/000131210920000020/si10-k12312019.htm,alias_to_causal_cik,verified_common,Same causal evidence predates second buy
SWIR,2022-10-17,0001111863,SWIR,"Common Shares, without par value",common,2021-03-18,40-F,0001111863-21-000012,https://www.sec.gov/Archives/edgar/data/1111863/000111186321000012/R1.htm,direct_symbol_and_cik,verified_common,40-F XBRL cover explicitly identifies SWIR common shares on Nasdaq
DRS1,2008-08-07,0000028630,DRS,"Common Stock, $.01 par value",common,2008-06-13,10-K,0001047469-08-007086,https://www.sec.gov/Archives/edgar/data/28630/000104746908007086/a2185895z10-k.htm,alias_to_causal_cik,verified_common,DRS common stock NYSE; issuer identity/ticker corroborated by contemporaneous Form 4
AWHHF,2012-06-21,0001163348,AWH,Common Shares,common,2006-07-13,424B4,0000950123-06-008931,https://www.sec.gov/Archives/edgar/data/1163348/000095012306008931/y15272b4e424b4.htm,alias_to_historical_cik,verified_common,IPO prospectus identifies common shares and NYSE AWH long before Orion buy
